marka,ban növü,rəng,mühərrik,sürətlər qutusu,yeni,vəziyyəti,yürüş,yaş,qiymət
54,2,2,1,1,1,3,230000.0,18.0,14000
33,9,0,1,0,1,3,175000.0,10.0,40500
26,2,4,0,1,1,3,153000.0,10.0,13333
42,9,7,0,0,1,3,83500.0,6.0,90950
42,11,7,0,0,1,2,150000.0,8.0,57800
26,9,0,1,0,1,3,162000.0,8.0,40900
44,9,7,0,0,1,3,197000.0,17.0,21500
41,9,3,0,0,1,2,147000.0,5.0,54400
33,9,0,1,0,1,3,195000.0,10.0,27500
5,9,7,2,0,0,2,0.0,1.0,62560
26,11,13,0,0,1,3,52700.0,6.0,25400
33,9,2,1,0,1,3,133000.0,9.0,46000
42,11,7,0,0,1,3,97000.0,8.0,38250
26,9,0,0,0,1,3,98850.0,11.0,24800
54,11,0,0,0,1,3,84444.0,3.0,35698
33,9,13,1,0,1,3,135000.0,6.0,41850
8,5,13,4,0,0,3,0.0,1.0,43350
3,11,0,0,0,1,3,330000.0,25.0,10300
57,2,0,2,0,0,3,0.0,1.0,44200
54,5,0,0,0,1,3,298855.0,16.0,12800
58,12,7,2,0,0,3,0.0,2.0,82620
49,12,0,0,2,1,3,222000.0,12.0,12500
42,11,0,0,0,1,3,27000.0,7.0,65450
57,9,0,2,0,0,3,0.0,1.0,54400
26,9,13,0,0,1,3,23000.0,3.0,65450
57,11,0,0,0,1,3,13900.0,14.0,13900
3,11,0,0,0,1,3,137960.0,9.0,40630
8,9,2,4,0,0,0,0.0,1.0,51850
23,9,7,0,0,0,3,0.0,2.0,48500
1,8,11,0,1,0,3,0.0,2.0,23999
42,11,0,1,0,1,3,126000.0,10.0,43350
26,11,8,0,0,1,3,210824.0,11.0,21000
33,9,0,0,0,1,3,139000.0,12.0,24500
55,9,7,1,1,1,2,165000.0,21.0,22500
3,11,7,0,0,1,3,198000.0,18.0,16600
42,11,7,1,0,1,2,76000.0,7.0,69700
45,11,4,0,0,1,3,93000.0,13.0,13900
31,9,5,0,0,1,3,600.0,1.0,41500
54,11,7,3,0,0,3,0.0,1.0,89344
42,11,7,1,0,1,3,115000.0,8.0,50830
47,11,13,2,0,1,3,17000.0,4.0,247350
37,9,7,0,0,1,3,33597.0,13.0,98600
8,5,2,4,0,0,3,0.0,1.0,40630
42,11,7,1,0,1,3,299000.0,14.0,27400
46,11,2,1,0,1,3,321000.0,15.0,16800
54,9,7,3,0,0,3,0.0,1.0,106250
44,9,7,0,0,1,3,197000.0,17.0,21500
41,9,3,0,0,1,2,147000.0,5.0,54400
33,9,0,1,0,1,3,195000.0,10.0,27500
5,9,7,2,0,0,3,0.0,1.0,62560
26,11,13,0,0,1,3,52700.0,6.0,25400
33,9,2,1,0,1,3,133000.0,9.0,46000
42,11,7,0,0,1,3,97000.0,8.0,38250
26,9,0,0,0,1,3,98850.0,11.0,24800
54,11,0,0,0,1,3,84444.0,3.0,35698
33,9,13,1,0,1,3,135000.0,6.0,41850
8,5,13,4,0,0,3,0.0,1.0,43350
3,11,0,0,0,1,3,330000.0,25.0,10300
57,2,0,2,0,0,3,0.0,1.0,44200
42,9,7,0,0,1,3,88000.0,7.0,158100
26,9,5,1,0,1,2,115000.0,11.0,32500
42,9,7,0,0,1,3,9800.0,3.0,175950
26,9,10,1,0,1,3,166219.0,8.0,39900
32,11,0,0,1,1,3,145000.0,4.0,8000
35,9,7,0,0,1,3,110000.0,10.0,71910
54,9,0,0,0,1,3,174000.0,15.0,33500
3,11,3,0,0,1,3,50000.0,3.0,75480
42,7,0,1,1,1,3,321521.0,27.0,9700
35,9,0,1,0,1,3,92300.0,5.0,171700
